pond_id,treatment,period,doy,GPP,R,NEP,dosat_dailyavg
B,pulsed,PULSE1,198,5.795090806,-4.86985818,0.925232626,45.9466294375
C,pulsed,PULSE1,198,2.513141753,-5.903410925,-3.390269171,50.4268224375
D,reference,PULSE1,198,3.332740642,-4.673235401,-1.340494759,27.197141791666667
E,reference,PULSE1,198,8.442418422,-8.500641923,-0.058223501,68.67944808333333
F,reference,PULSE1,198,13.63487454,-14.74309187,-1.108217332,63.6964191875
A,pulsed,PULSE1,199,7.168616875,-6.527612679,0.641004196,56.40632464583333
B,pulsed,PULSE1,199,6.778025343,-7.259721292,-0.481695949,60.4733560625
C,pulsed,PULSE1,199,NA,NA,NA,72.26439970833333
D,reference,PULSE1,199,3.79144915,-1.11961495,2.6718342,52.031198458333336
E,reference,PULSE1,199,6.098686806,-4.136959425,1.961727382,102.40319566666666
F,reference,PULSE1,199,7.461357105,-9.907825629,-2.446468524,89.13478277083334
A,pulsed,PULSE1,200,7.29604803,-8.916399768,-1.620351738,74.53879210416666
B,pulsed,PULSE1,200,5.33819997,-7.721539742,-2.383339772,69.4567375625
C,pulsed,PULSE1,200,4.400173698,-4.965101485,-0.564927787,92.80341897916666
D,reference,PULSE1,200,4.652910035,-5.248450625,-0.59554059,62.1800110625
E,reference,PULSE1,200,6.879414511,-5.884494389,0.994920122,117.540332375
F,reference,PULSE1,200,7.692293585,-10.23850972,-2.546216137,101.36116720833333
A,pulsed,PULSE1,201,8.26130786,-10.53595831,-2.274650445,69.5442235
B,pulsed,PULSE1,201,4.650898524,-5.331093607,-0.680195082,62.661962833333334
C,pulsed,PULSE1,201,3.706264394,-4.328112496,-0.621848102,90.6600870625
D,reference,PULSE1,201,6.822403171,-7.45138147,-0.628978299,79.1792183125
E,reference,PULSE1,201,6.839276758,-8.275397524,-1.436120766,108.01552427083334
F,reference,PULSE1,201,2.778534822,-2.832084133,-0.053549311,92.77909149999999
A,pulsed,PULSE1,202,NA,NA,NA,46.419279583333335
B,pulsed,PULSE1,202,3.091108995,-4.856996843,-1.765887847,45.75374754166667
C,pulsed,PULSE1,202,2.158781917,-4.148191237,-1.989409321,63.90031629166666
D,reference,PULSE1,202,6.52194318,-9.748028873,-3.226085693,56.75333122916667
E,reference,PULSE1,202,5.937099799,-7.307284167,-1.370184368,80.23400808333334
