pond_id,treatment,period,doy,dosat_dailyavg
A,pulsed,PULSE2,233,46.76162931
B,pulsed,PULSE2,233,51.61127685
C,pulsed,PULSE2,233,82.6808571
D,reference,PULSE2,233,67.17688954
E,reference,PULSE2,233,29.72357706
F,reference,PULSE2,233,58.35490467
A,pulsed,PULSE2,234,47.25509329
B,pulsed,PULSE2,234,55.90640838
C,pulsed,PULSE2,234,92.21977048
D,reference,PULSE2,234,76.41177806
E,reference,PULSE2,234,38.79391598
F,reference,PULSE2,234,70.71754204
A,pulsed,PULSE2,235,43.09081252
B,pulsed,PULSE2,235,48.92340463
C,pulsed,PULSE2,235,73.75346994
D,reference,PULSE2,235,64.1759561
E,reference,PULSE2,235,30.16821735
F,reference,PULSE2,235,70.61300169
A,pulsed,PULSE2,236,42.49373835
B,pulsed,PULSE2,236,59.25336519
C,pulsed,PULSE2,236,74.56189769
D,reference,PULSE2,236,65.2585904
E,reference,PULSE2,236,42.01991485
F,reference,PULSE2,236,69.59033088
A,pulsed,PULSE2,237,53.37574158
B,pulsed,PULSE2,237,60.78644404
C,pulsed,PULSE2,237,86.53387252
D,reference,PULSE2,237,86.9279064
E,reference,PULSE2,237,54.05148552
F,reference,PULSE2,237,70.6914154
A,pulsed,PULSE2,238,71.73828806
B,pulsed,PULSE2,238,65.80240829
C,pulsed,PULSE2,238,72.08967815
D,reference,PULSE2,238,97.05621656
E,reference,PULSE2,238,56.87262563
F,reference,PULSE2,238,79.01098169
A,pulsed,PULSE2,239,63.29986202
B,pulsed,PULSE2,239,53.72370671
C,pulsed,PULSE2,239,69.60199471
D,reference,PULSE2,239,104.0202336
E,reference,PULSE2,239,48.13012788
F,reference,PULSE2,239,75.02900779
A,pulsed,PULSE2,240,65.94782948
B,pulsed,PULSE2,240,51.58092431
C,pulsed,PULSE2,240,61.62196238
D,reference,PULSE2,240,110.0992019
E,reference,PULSE2,240,39.12828727
F,reference,PULSE2,240,69.36546515
A,pulsed,PULSE2,241,NA
B,pulsed,PULSE2,241,NA
C,pulsed,PULSE2,241,NA
D,reference,PULSE2,241,NA
E,reference,PULSE2,241,NA
F,reference,PULSE2,241,NA
NA,NA,NA,242,NA
NA,NA,NA,243,NA
NA,NA,NA,244,NA
