"sample_id","pond_id","doy","vial","lot_number","sample_type","run","start_time","end_time","vial_number","toc_ppb","ic_ppb","tc_ppb","run_date","mean_blank_toc_ppb","mean_blank_ic_ppb","mean_blank_tc_ppb","doc_ppb","dic_ppb","dc_ppb"
"B238","B",238,"5","B","Sample",2,2022-01-23 16:35:58,2022-01-23 17:04:07,"5",24000,233,24200,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,23842.9555555556,137.433333333333,23947.3333333333
"B240","B",240,"6","B","Sample",2,2022-01-23 17:04:20,2022-01-23 17:32:29,"6",30100,193,30300,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,29942.9555555556,97.4333333333333,30047.3333333333
"E153","E",153,"8","E","Sample",2,2022-01-23 18:01:07,2022-01-23 18:29:25,"8",33800,201,34000,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,33642.9555555556,105.433333333333,33747.3333333333
"E155","E",155,"9","E","Sample",2,2022-01-23 18:29:39,2022-01-23 18:57:50,"9",8930,452,9380,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,8772.95555555556,356.433333333333,9127.33333333333
"E157","E",157,"10","E","Sample",2,2022-01-23 18:58:04,2022-01-23 19:26:10,"10",7260,242,7500,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,7102.95555555556,146.433333333333,7247.33333333333
"E160","E",160,"11","E","Sample",2,2022-01-23 19:26:26,2022-01-23 19:54:31,"11",7620,661,8280,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,7462.95555555556,565.433333333333,8027.33333333333
"E162","E",162,"12","E","Sample",2,2022-01-23 19:54:45,2022-01-23 20:22:51,"12",7650,939,8590,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,7492.95555555556,843.433333333333,8337.33333333333
"E164","E",164,"13","E","Sample",2,2022-01-23 20:23:04,2022-01-23 20:51:09,"13",9280,272,9550,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,9122.95555555556,176.433333333333,9297.33333333333
"E167","E",167,"14","E","Sample",2,2022-01-23 20:51:23,2022-01-23 21:19:28,"14",8140,221,8360,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,7982.95555555556,125.433333333333,8107.33333333333
"E169","E",169,"15","E","Sample",2,2022-01-23 21:19:42,2022-01-23 21:47:47,"15",14000,199,14200,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,13842.9555555556,103.433333333333,13947.3333333333
"E171","E",171,"16","E","Sample",2,2022-01-23 21:48:00,2022-01-23 22:16:06,"16",23500,209,23700,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,23342.9555555556,113.433333333333,23447.3333333333
"E174","E",174,"17","E","Sample",2,2022-01-23 22:16:20,2022-01-23 22:44:29,"17",29200,227,29400,"Jan. 23",157.044444444444,95.5666666666667,252.666666666667,29042.9555555556,131.433333333333,29147.3333333333
